Week,ice cream,Volleyball,tennis
2015-12-05,17,14,18
2015-12-12,18,14,18
2015-12-19,20,9,16
2015-12-26,21,8,17
2016-01-02,19,12,21
2016-01-09,19,12,19
2016-01-16,22,12,28
2016-01-23,21,12,29
2016-01-30,21,12,22
2016-02-06,19,12,20
2016-02-13,21,12,22
2016-02-20,22,12,23
2016-02-27,22,13,22
2016-03-05,25,13,26
2016-03-12,27,12,28
2016-03-19,27,12,27
2016-03-26,25,14,27
2016-04-02,26,13,24
2016-04-09,28,13,26
2016-04-16,31,13,26
2016-04-23,29,13,24
2016-04-30,29,12,24
2016-05-07,31,13,26
2016-05-14,32,12,25
2016-05-21,36,12,29
2016-05-28,40,12,31
2016-06-04,38,11,28
2016-06-11,39,11,24
2016-06-18,42,12,23
2016-06-25,43,12,34
2016-07-02,44,11,40
2016-07-09,44,12,29
2016-07-16,53,12,24
2016-07-23,43,11,25
2016-07-30,41,18,28
2016-08-06,36,60,52
2016-08-13,36,64,37
2016-08-20,34,30,29
2016-08-27,33,24,45
