stid,station_name,lat,lon,elev,begints,iem_network
SVE,Susanville,40.3757,-120.5727,1260.8398,226022400,CA_ASOS
TSP,Tehachapi,35.135,-118.43922,1219.5,-856260000,CA_ASOS
TRM,THERMAL AIRPORT,33.62667,-116.15967,-37,-835419600,CA_ASOS
TOA,TORRANCE MUNICIPAL,33.80339,-118.33961,31,-807379200,CA_ASOS
TCY,Tracy,37.6889,-121.44158,56.52399,1541446500,CA_ASOS
SUU,TRAVIS AFB/FAIRFLD,38.26267,-121.9275,19,-832867200,CA_ASOS
O86,Trinity Center,40.9828,-122.6937,729.63513,1330781400,CA_ASOS
TRK,TRUCKEE-TAHOE,39.32004,-120.13956,1798,94694400,CA_ASOS
NXP,TWENTYNINE PALMS,34.29617,-116.16217,626,237508200,CA_ASOS
UKI,Ukiah,39.1258,-123.2008,184.98428,-640681200,CA_ASOS
EDU,University,38.5315,-121.7865,21,1282856400,CA_ASOS
BAN,Usmc Mtn Warfare Tra,38.36361,-119.52,2067,1266908160,CA_ASOS
VCB,VACAVILLE (WAS O45),38.3775,-121.9575,34,909910380,CA_ASOS
VBG,VANDENBERG AFB,34.72967,-120.57683,112,-583754400,CA_ASOS
XVW,VANDENBERG RANGE,34.7275,-120.57833,100,788918400,CA_ASOS
VNY,VAN NUYS AIRPORT,34.20972,-118.48917,244,-853884000,CA_ASOS
VCV,VICTORVILLE,34.59747,-117.383,876,-883584000,CA_ASOS
VIS,VISALIA MUNI (AWOS),36.31867,-119.39289,89,96235200,CA_ASOS
WVI,Watsonville,36.93936,-121.78998,49.7,901981260,CA_ASOS
O54,Weaverville,40.7473,-122.9223,716,1288595700,CA_ASOS
DWA,Yolo County,38.5794,-121.8569,27.258173,1601053800,CA_ASOS
