year,type,gpw
2007,supercomputer,0.02232
2007,supercomputer,0.02232
2007,supercomputer,0.02224
2007,supercomputer,0.022
2007,supercomputer,0.02185
2007,supercomputer,0.02158
2007,supercomputer,0.02136
2007,supercomputer,0.02131
2007,supercomputer,0.02113
2007,supercomputer,0.02101
2007,supercomputer,0.0203
2007,supercomputer,0.0203
2007,supercomputer,0.02023
2007,supercomputer,0.02018
2007,supercomputer,0.02008
2007,supercomputer,0.02003
2007,supercomputer,0.02003
2007,supercomputer,0.01968
2007,supercomputer,0.01917
2007,supercomputer,0.01912
2007,supercomputer,0.01899
2007,supercomputer,0.0188
2007,supercomputer,0.01795
2007,supercomputer,0.01787
2007,supercomputer,0.01764
2007,supercomputer,0.01715
2007,supercomputer,0.01515
2007,supercomputer,0.01509
2007,supercomputer,0.01509
2007,supercomputer,0.01507
2007,supercomputer,0.01498
2007,supercomputer,0.01464
2007,supercomputer,0.01456
2007,supercomputer,0.01448
2007,supercomputer,0.01447
2007,supercomputer,0.01361
2007,supercomputer,0.01321
2007,supercomputer,0.01319
2007,supercomputer,0.01301
2007,supercomputer,0.01267
2007,supercomputer,0.01266
2007,supercomputer,0.01205
2007,supercomputer,0.01051
2007,supercomputer,0.00936
2007,supercomputer,0.00743
2007,supercomputer,0.0062
2007,supercomputer,0.0056
2007,supercomputer,0.00508
2007,supercomputer,0.00406
2007,supercomputer,0.00365
2008,supercomputer,0.35723
2008,supercomputer,0.35225
2008,supercomputer,0.34695
2008,supercomputer,0.33621
2008,supercomputer,0.31093
2008,supercomputer,0.21056
2008,supercomputer,0.21056
2008,supercomputer,0.21056
2008,supercomputer,0.21056
2008,supercomputer,0.21056
2008,supercomputer,0.21056
2008,supercomputer,0.21056
2008,supercomputer,0.20831
2008,supercomputer,0.20831
2008,supercomputer,0.20831
2008,supercomputer,0.20831
2008,supercomputer,0.20831
2008,supercomputer,0.20831
2008,supercomputer,0.20831
2008,supercomputer,0.20831
2008,supercomputer,0.20527
2008,supercomputer,0.20506
2008,supercomputer,0.20424
2008,supercomputer,0.20377
2008,supercomputer,0.20377
2008,supercomputer,0.20377
2008,supercomputer,0.17706
2008,supercomputer,0.15727
2008,supercomputer,0.15724
2008,supercomputer,0.15571
2008,supercomputer,0.15527
2008,supercomputer,0.15493
2008,supercomputer,0.15221
2008,supercomputer,0.15045
2008,supercomputer,0.15045
2008,supercomputer,0.15045
